"Gene","Correlation_with_PCoA2"
"group_1558.Protein.ninH",-0.897927884783555
"group_502.Enterobacterial.Ail.Lom.family.protein",-0.897927884783555
"group_1958.Phage.terminase.large.subunit.family.protein",0.897927884783555
"group_1957.Dnase",0.897927884783555
"group_1956.Putative.tail.component",0.897927884783555
"group_1955.Putative.tail.component",0.897927884783555
"group_1954.Phage.protein",0.897927884783555
"group_1952.DUF551.domain.containing.protein",0.897927884783555
"group_1950.hypothetical.protein",0.897927884783555
"exo.Exonuclease",0.897927884783555
"group_1804.DUF1382.domain.containing.protein",0.897927884783555
"nleG7.Type.III.secretion.system.effector.NleG7.E3.Ubiquitin.Ligase",0.897927884783555
"nleG51.DUF1076.domain.containing.protein",0.897927884783555
"group_1713.Terminase",0.897927884783555
"group_1676.DUF3950.domain.containing.protein",0.897927884783555
"group_1538.phage.recombination.protein.Bet",0.897927884783555
"group_1535.DUF1317.domain.containing.protein",0.897927884783555
"group_1532.Cell.division.protein.ZapA",0.897927884783555
"group_1528.Phage.protein",0.897927884783555
"group_1525.Conjugal.transfer.protein.TraR",0.897927884783555
"group_1522.Ead.Ea22.like.family.protein",0.897927884783555
"group_1520.Phage.protein",0.897927884783555
"group_1518.Excisionase",0.897927884783555
"group_1502.Serine.threonine.protein.phosphatase",0.897927884783555
"group_1302.hypothetical.protein",0.897927884783555
"group_1295.DUF4222.domain.containing.protein",0.897927884783555
"group_1293.hypothetical.protein",0.897927884783555
"group_1282.hypothetical.protein",0.897927884783555
"group_1239.Prophage.protein",0.897927884783555
"group_1232.non.LEE.encoded.effector.NleG",0.897927884783555
"group_1219.Arc.like.DNA.binding.domain.containing.protein",0.897927884783555
"group_1200.hypothetical.protein",0.897927884783555
"group_1182.Glycosyltransferase.family.4.protein",0.897927884783555
"group_1176.Prophage.protein",0.897927884783555
"group_1175.Prophage.protein",0.897927884783555
"group_1174.AlpA.family.phage.regulatory.protein",0.897927884783555
"group_1112.hypothetical.protein",0.897927884783555
"group_1111.Phage.protein",0.897927884783555
"group_1110.Helix.turn.helix.domain.containing.protein",0.897927884783555
"group_1048.hypothetical.protein",0.897927884783555
"group_1040.hypothetical.protein",0.897927884783555
"group_1031.hypothetical.protein",0.897927884783555
"group_999.Antitermination.protein.N",0.897927884783555
"group_967.hypothetical.protein",0.897927884783555
"group_935.hypothetical.protein",0.897927884783555
"group_930.Bacteriophage.CII.protein",0.897927884783555
"gam.Host.nuclease.inhibitor.protein.gam",0.897927884783555
"group_884.Arc.family.DNA.binding.protein",0.897927884783555
"iraM.Anti.adapter.protein.IraM",0.897927884783555
"group_851.Prophage.protein",0.897927884783555
"group_832.terminase.large.subunit.domain.containing.protein",0.897927884783555
"group_814.Fels.1.prophage.protein",0.897927884783555
"group_794.Fels.1.prophage.protein",0.897927884783555
"group_790.DUF5406.domain.containing.protein",0.897927884783555
"group_774.manganese.catalase.family.protein",0.897927884783555
"group_762.Phage.protein",0.897927884783555
"group_759.Transposase",0.897927884783555
"group_693.Endopeptidase",0.897927884783555
"group_689.HTH.cro.C1.type.domain.containing.protein",0.897927884783555
"group_673.Phage.repressor.protein.CI",0.897927884783555
"group_634.Q.protein",0.897927884783555
"group_624.lysozyme.RrrD",0.897927884783555
"group_601.Phage.protein",0.897927884783555
"group_454.CI.protein",0.897927884783555
"group_391.putative.antirepressor",0.897927884783555
"group_331.Antitermination.protein.Q",0.897927884783555
"group_323.DNA.replication.protein.O",0.897927884783555
"group_317.Serine.protease",0.897927884783555
"group_303.Helix.turn.helix.domain.containing.protein",0.897927884783555
"espS.Secretion.protein.EspS",0.897927884783555
"group_283.Integrase",0.897927884783555
"group_261.DNA.primase",0.897927884783555
"group_241.Phage.DNA.primase",0.897927884783555
"group_226.Phage.antirepressor.protein",0.897927884783555
"group_125.Putative.integrase",0.897927884783555
"group_101.DNA.5..3..helicase",0.897927884783555
"group_76.SIR2.like.domain.containing.protein",0.897927884783555
"group_68.Helicase",0.897927884783555
"group_14.DUF4765.domain.containing.protein",0.897927884783555
"group_1953.Phage.protein",0.889509288223331
"group_2170.inverse.autotransporter.beta.domain.containing.protein.Adhesin.Putative.invasin",-0.886931143752465
"group_1792.DUF826.domain.containing.protein",0.880309542686167
"group_2417.Putative.tail.component",-0.870174916224955
"group_2092.Membrane.protein.DUF4209.domain.containing.protein",-0.870174916224955
"comF.hypothetical.protein.ComF.family.protein",-0.870174916224955
"group_1459.IS66.like.element.accessory.protein.TnpA",-0.870174916224955
"group_1447.IS66.family.insertion.sequence.element.accessory.protein.TnpB",-0.870174916224955
"group_1434.IS66.family.ISEc8.transposase",-0.870174916224955
"group_1301.hypothetical.protein",-0.870174916224955
"group_1190.hypothetical.protein",-0.870174916224955
"group_960.Acyl.carrier.protein",-0.870174916224955
"group_901.DNA.binding.protein",-0.870174916224955
"acpS2.putative.holo..acyl.carrier.protein..synthase.2",-0.870174916224955
"fabZ.3.hydroxyacyl.ACP.dehydratase.FabZ.family.protein",-0.870174916224955
"group_561.Fimbrial.protein",-0.870174916224955
"group_559.Inovirus.Gp2.family.protein",-0.870174916224955
"group_481.hypothetical.protein",-0.870174916224955
"group_450.Sel1.repeat.family.protein",-0.870174916224955
"group_410.Chaperone",-0.870174916224955
"group_406.ABC.transporter.ATP.binding.protein",-0.870174916224955
"group_359.Short.chain.dehydrogenase.reductase.family.oxidoreductase",-0.870174916224955
"group_339.Outer.membrane.lipoprotein.sorting.protein",-0.870174916224955
"ymdE.Putative.uncharacterized.protein.YmdE",-0.870174916224955
"group_251.ATP.binding.protein",-0.870174916224955
"ycdU.Uncharacterized.protein.YcdU",-0.870174916224955
"group_161.Aminomethyl.transferase.family.protein",-0.870174916224955
"group_144.Integrase",-0.870174916224955
"group_138.Beta.ketoacyl.synthase.domain.containing.protein",-0.870174916224955
"group_120.ABC.transporter.permease",-0.870174916224955
"group_100.DUF3987.domain.containing.protein",-0.870174916224955
"group_98.DUF3570.domain.containing.protein",-0.870174916224955
"group_74.Hemolysin.activator.like.protein",-0.870174916224955
"group_35.DEAD.DEAH.box.helicase",-0.870174916224955
"group_27.Nodulation.protein.E",-0.870174916224955
"group_9.ShlA.HecA.FhaA.exofamily.protein",-0.870174916224955
"group_2372.hypothetical.protein.Phage.transposase",0.870174916224955
"group_2265.DUF2730.domain.containing.protein",0.870174916224955
"group_2250.Mu.transposase.C.terminal.domain.containing.protein.DNA.binding.protein.Phage.transposase",0.870174916224955
"group_2249.hypothetical.protein.AAA.family.ATPase.Phage.DNA.transposition.protein",0.870174916224955
"group_2233.hypothetical.protein.Phage.DNA.transposition.protein",0.870174916224955
"group_2232.hypothetical.protein.Phage.protein",0.870174916224955
"group_2231.AsnC.family.protein",0.870174916224955
"group_2184.Terminase.large.subunit",0.870174916224955
"group_2127.Regulatory.protein",0.870174916224955
"group_2075.SF3.helicase.domain.containing.protein",0.870174916224955
"group_2074.SF3.helicase.domain.containing.protein",0.870174916224955
"group_2073.DUF4222.domain.containing.protein",0.870174916224955
"group_2072.DUF4222.domain.containing.protein",0.870174916224955
"group_2071.DUF4222.domain.containing.protein",0.870174916224955
"group_2070.hypothetical.protein",0.870174916224955
"group_2069.hypothetical.protein",0.870174916224955
"group_2068.hypothetical.protein",0.870174916224955
"group_2067.Prophage.protein",0.870174916224955
"group_2066.Prophage.protein",0.870174916224955
"group_2065.host.cell.division.inhibitor.Icd.like.protein",0.870174916224955
"group_2064.Regulatory.protein",0.870174916224955
"group_2063.Bacteriophage.protein",0.870174916224955
"group_2062.Bacteriophage.protein",0.870174916224955
"group_2061.Kil.protein.for.bacterial.septation.inhibition",0.870174916224955
"group_2060.Kil.protein.for.bacterial.septation.inhibition",0.870174916224955
"group_2059.Host.nuclease.inhibitor.protein",0.870174916224955
"group_2058.Host.nuclease.inhibitor.protein",0.870174916224955
"group_2057.hypothetical.protein",0.870174916224955
"group_2056.hypothetical.protein",0.870174916224955
"group_2055.Prophage.protein",0.870174916224955
"group_2054.Prophage.protein",0.870174916224955
"group_2053.Prophage.host.nuclease.inhibitor.protein",0.870174916224955
"group_2052.Prophage.host.nuclease.inhibitor.protein",0.870174916224955
"group_2051.Phage.protein",0.870174916224955
"group_2050.Prophage.DNA.binding.protein",0.870174916224955
"group_2049.Prophage.DNA.binding.protein",0.870174916224955
"group_2048.Mu.prophage.protein",0.870174916224955
"group_2047.Mu.prophage.protein",0.870174916224955
"group_2046.AsnC.family.protein",0.870174916224955
"group_2045.DUF551.domain.containing.protein",0.870174916224955
"group_2044.DUF551.domain.containing.protein",0.870174916224955
"group_2043.hypothetical.protein",0.870174916224955
"group_2042.hypothetical.protein",0.870174916224955
"group_2041.HEAT.repeat.domain.containing.protein",0.870174916224955
"group_2040.HEAT.repeat.domain.containing.protein",0.870174916224955
"group_2039.Phage.protein",0.870174916224955
"group_2038.Phage.protein",0.870174916224955
"group_2037.hypothetical.protein",0.870174916224955
"group_2036.hypothetical.protein",0.870174916224955
"group_2035.DUF1018.domain.containing.protein",0.870174916224955
"group_2034.DUF1018.domain.containing.protein",0.870174916224955
"group_2033.Transcriptional.regulator",0.870174916224955
"group_2032.Transcriptional.regulator",0.870174916224955
"group_2031.Lysozyme",0.870174916224955
"group_2030.Lysozyme",0.870174916224955
"group_2029.DUF2570.domain.containing.protein",0.870174916224955
"group_2028.DUF2570.domain.containing.protein",0.870174916224955
"group_2027.RNA.polymerase.binding.transcription.factor",0.870174916224955
"group_2026.RNA.polymerase.binding.transcription.factor",0.870174916224955
"group_2025.DUF2730.domain.containing.protein",0.870174916224955
"group_2024.ArsR.family.transcriptional.regulator",0.870174916224955
"group_2023.ArsR.family.transcriptional.regulator",0.870174916224955
"group_2022.DUF3486.domain.containing.protein",0.870174916224955
"group_2021.DUF3486.domain.containing.protein",0.870174916224955
"group_2020.Phage.portal.protein",0.870174916224955
"group_2019.Phage.portal.protein",0.870174916224955
"group_2018.DUF935.domain.containing.protein",0.870174916224955
"group_2017.DUF935.domain.containing.protein",0.870174916224955
"group_2016.Phage.head.morphogenesis.protein",0.870174916224955
"group_2015.Phage.head.morphogenesis.protein",0.870174916224955
"group_2014.phage.virion.morphogenesis.protein",0.870174916224955
"group_2013.phage.virion.morphogenesis.protein",0.870174916224955
"group_2012.Prophage.protease.protein",0.870174916224955
"group_2011.Prophage.protease.protein",0.870174916224955
"group_2010.Phage.major.head.subunit",0.870174916224955
"group_2009.Phage.major.head.subunit",0.870174916224955
"group_2008.Mu.like.prophage.FluMu.N.terminal.domain.containing.protein",0.870174916224955
"group_2007.Mu.like.prophage.FluMu.N.terminal.domain.containing.protein",0.870174916224955
"group_2006.DUF1320.domain.containing.protein",0.870174916224955
"group_2005.DUF1320.domain.containing.protein",0.870174916224955
"group_2004.DUF1834.domain.containing.protein",0.870174916224955
"group_2003.DUF1834.domain.containing.protein",0.870174916224955
"group_2002.DUF2635.domain.containing.protein",0.870174916224955
"group_2001.DUF2635.domain.containing.protein",0.870174916224955
"group_2000.Phage.tail.protein",0.870174916224955
"group_1999.Phage.tail.protein",0.870174916224955
"group_1998.Phage.tail.tube.protein",0.870174916224955
"group_1997.Phage.tail.tube.protein",0.870174916224955
"group_1996.Phage.tail.assembly.protein",0.870174916224955
"group_1995.Phage.tail.assembly.protein",0.870174916224955
"group_1994.Phage.tape.measure.protein",0.870174916224955
"group_1993.Phage.tape.measure.protein",0.870174916224955
"group_1992.Multidrug.DMT.transporter.permease",0.870174916224955
"group_1991.Multidrug.DMT.transporter.permease",0.870174916224955
"group_1990.Phage.tail.protein",0.870174916224955
"group_1989.Phage.tail.protein",0.870174916224955
"group_1988.Phage.baseplate.assembly.protein.V",0.870174916224955
"group_1987.Phage.baseplate.assembly.protein.V",0.870174916224955
"group_1986.Phage.protein.GP46",0.870174916224955
"group_1985.Phage.protein.GP46",0.870174916224955
"group_1984.Baseplate.protein.J.like.domain.containing.protein",0.870174916224955
"group_1983.Baseplate.protein.J.like.domain.containing.protein",0.870174916224955
"group_1982.DUF2313.domain.containing.protein",0.870174916224955
"group_1981.DUF2313.domain.containing.protein",0.870174916224955
"group_1980.Phage.tail.protein",0.870174916224955
"group_1979.Phage.tail.protein",0.870174916224955
"group_1978.Tail.fiber.assembly.protein",0.870174916224955
"group_1977.Tail.fiber.assembly.protein",0.870174916224955
"group_1976.DNA.invertase",0.870174916224955
"group_1975.DNA.invertase",0.870174916224955
"group_1974.Sialate.O.acetylesterase",0.870174916224955
"group_1973.Sialate.O.acetylesterase",0.870174916224955
"group_1972.DUF1378.domain.containing.protein",0.870174916224955
"group_1971.DUF1378.domain.containing.protein",0.870174916224955
"group_1970.DUF826.domain.containing.protein",0.870174916224955
